nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ITA,DF,27,1992,0.3,12,12,0,0,0,0,1,0,0,0,0,0,9,0,1
TUR,DF,22,1998,10.4,625,605,20,15,0,4,1,5,0,0,0,0,587,0,2
ITA,MF,19,2001,0.2,20,18,2,1,0,0,1,0,1,0,1,0,18,0,0
ARG,FW,26,1993,12.6,705,604,98,19,1,7,65,4,53,5,36,0,576,3,13
ROU,DF,18,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
URU,MF,23,1997,25.8,1851,1785,60,40,2,14,25,5,15,5,6,0,1643,6,21
USA,MF,21,1998,18.9,785,759,22,4,1,6,9,18,0,0,0,0,659,4,17
POL,GK,30,1990,29.7,1016,800,215,36,0,3,0,0,0,0,0,0,919,1,3
ESP,FW,27,1992,22.4,601,556,38,2,3,6,18,1,0,0,0,0,445,7,15
MNE,DF,27,1992,33.0,1578,1383,192,23,0,6,64,168,0,0,0,0,1312,3,28
BRA,"FW,MF",24,1996,6.0,286,243,40,13,1,7,49,3,21,9,11,0,187,3,13
ANG,DF,29,1991,0.7,41,39,2,2,0,0,0,0,0,0,0,0,38,0,0
ITA,FW,30,1990,31.7,897,867,27,3,3,3,18,10,6,4,1,0,651,3,31
ITA,MF,25,1994,6.3,429,387,41,16,1,3,30,4,19,11,5,0,351,1,5
SVK,DF,24,1996,0.4,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0
NED,DF,25,1995,0.8,32,25,7,0,0,0,2,7,0,0,0,0,23,0,1
ECU,FW,31,1988,10.3,261,253,7,0,0,1,0,2,0,0,0,0,185,1,12
ITA,DF,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11
ARG,MF,27,1993,8.1,481,474,6,5,0,2,4,0,0,0,0,0,422,1,6
CIV,MF,27,1992,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11
ARG,FW,25,1994,21.5,718,669,41,2,3,8,19,7,15,5,8,0,579,8,24
BRA,MF,33,1987,23.7,1484,1436,44,37,1,5,16,2,5,4,0,0,1274,4,28
ESP,MF,27,1992,29.1,1946,1664,266,71,9,14,150,22,119,63,38,1,1493,16,43
ITA,DF,23,1997,10.1,548,528,20,17,0,3,2,3,0,0,0,0,500,0,0
ITA,DF,26,1993,29.0,1153,935,214,15,2,4,114,199,0,0,0,0,924,4,28
ITA,MF,17,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ITA,"DF,MF",35,1985,7.3,363,347,14,8,0,5,4,6,0,0,0,0,299,2,5
ARG,DF,29,1990,2.5,116,109,7,3,0,0,1,4,0,0,0,0,104,0,1
ALG,DF,24,1996,12.7,540,468,70,6,0,1,60,64,0,0,0,0,412,2,18
ITA,DF,19,2001,0.1,5,3,1,1,0,1,0,0,0,0,0,0,3,1,0
ESP,DF,27,1993,17.7,1229,1167,60,32,1,8,30,26,0,0,0,0,1054,2,9
ESP,GK,37,1982,29.0,1131,919,209,64,0,3,0,0,0,0,0,0,924,3,0
ESP,FW,17,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,DF,34,1986,8.0,346,304,40,2,0,0,23,37,1,0,0,0,242,2,10
SRB,MF,25,1995,30.5,1823,1767,44,19,4,25,57,24,1,0,0,0,1401,12,30
ALB,GK,25,1995,9.0,344,279,65,8,0,0,0,0,0,0,0,0,294,0,0
KVX,FW,26,1994,9.2,252,250,1,1,0,1,3,0,0,0,0,0,171,1,11
NED,DF,26,1994,10.6,680,659,19,12,0,15,1,0,0,0,0,0,609,2,0
ROU,DF,33,1986,27.3,1635,1561,63,30,0,10,61,31,2,1,0,0,1355,11,21
ITA,DF,25,1995,21.2,1029,986,40,37,0,3,1,2,0,0,0,0,920,3,3
BEL,FW,21,1999,22.4,860,844,15,2,1,2,47,9,4,2,2,0,679,1,19
ITA,DF,26,1994,0.3,24,21,3,1,1,0,1,2,0,0,0,0,21,0,0
CRO,FW,26,1993,19.7,472,447,20,2,2,2,61,7,2,1,0,0,290,5,31
MAR,"MF,FW",20,1999,13.6,488,456,29,6,1,0,16,3,15,6,3,0,415,3,8
ROU,GK,34,1986,1.0,26,22,4,0,0,0,0,0,0,0,0,0,24,0,0
ITA,"FW,DF",18,2001,0.3,15,15,0,0,0,0,2,0,0,0,0,0,13,0,0
ITA,DF,23,1996,29.4,1792,1519,259,38,0,11,69,221,0,0,0,0,1384,14,34
POR,DF,21,1999,12.1,620,511,107,7,1,6,34,97,3,0,1,0,467,2,13
ENG,DF,22,1997,16.3,918,872,42,23,0,5,1,2,0,0,0,0,810,4,7
CIV,MF,23,1996,35.8,2022,1956,57,51,0,19,13,6,0,0,0,0,1781,9,16
ITA,GK,21,1999,37.0,1232,957,271,64,0,4,0,0,0,0,0,0,979,4,1
TUR,"MF,FW",26,1994,29.0,1614,1369,242,67,4,24,221,15,151,78,56,0,1240,3,25
ALG,MF,22,1997,14.7,984,938,39,31,0,10,10,1,7,2,3,0,851,7,14
NOR,FW,20,1999,5.9,196,192,4,0,0,1,3,4,0,0,0,0,155,0,7
ITA,FW,18,2002,1.0,13,13,0,0,0,0,1,0,0,0,0,0,7,0,1
BRA,DF,24,1996,0.2,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0
CRO,FW,34,1986,2.4,50,49,1,0,0,0,1,0,0,0,0,0,35,0,1
ARG,DF,29,1990,0.4,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0
ITA,DF,20,1999,6.2,361,353,8,7,0,5,0,1,0,0,0,0,331,0,0
FRA,DF,20,2000,8.1,496,457,37,7,0,0,17,25,0,0,0,0,422,2,6
BIH,"MF,FW",26,1993,8.0,272,262,9,5,1,0,3,2,2,1,0,0,233,1,4
POR,FW,21,1999,21.4,507,472,29,1,1,2,32,9,0,0,0,0,362,6,12
ESP,FW,25,1995,13.1,451,425,24,9,0,5,34,9,6,1,1,0,356,2,19
ITA,MF,20,2000,14.8,772,734,34,19,0,5,26,3,12,7,4,0,630,4,15
DEN,DF,31,1989,26.6,1489,1400,82,62,1,19,3,2,0,0,0,0,1303,7,8
FRA,MF,26,1994,6.5,289,280,7,6,1,3,1,1,0,0,0,0,243,2,4
FRA,DF,22,1997,32.6,1891,1611,271,41,1,13,76,222,8,0,8,0,1527,9,44
SWE,FW,38,1981,16.6,544,494,46,4,5,1,15,3,3,0,0,0,380,4,17
ITA,GK,23,1997,22.0,605,482,121,28,0,0,0,0,0,0,0,0,541,2,1
KVX,DF,26,1994,12.2,600,561,39,26,0,4,1,3,0,0,0,0,545,0,2
ITA,FW,25,1995,10.7,232,215,17,0,0,2,1,1,0,0,0,0,186,0,5
ITA,FW,17,2002,0.1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
COL,GK,31,1988,16.0,545,452,93,36,0,1,0,0,0,0,0,0,453,0,1
GER,MF,28,1991,17.7,1254,1225,23,22,2,5,5,1,0,0,0,0,1110,6,22
BEL,"FW,MF",33,1987,16.2,488,428,58,8,3,2,64,0,26,2,21,0,352,2,17
MKD,"MF,FW",20,1999,8.2,355,348,6,3,0,0,5,2,1,0,0,0,319,1,5
ALB,DF,26,1994,19.6,1226,1049,172,27,2,9,18,145,0,0,0,0,1029,5,22
ESP,MF,24,1996,28.5,2110,2036,69,59,0,38,23,3,7,2,1,0,1884,5,31
ALG,"DF,FW",29,1991,3.2,258,210,46,16,0,0,29,18,12,3,6,0,206,2,5
ESP,"FW,MF",35,1985,0.6,22,22,0,0,0,0,0,0,0,0,0,0,13,0,0
ITA,DF,26,1993,36.0,2586,2187,395,74,2,10,72,321,0,0,0,0,2228,4,54
MEX,FW,25,1995,21.8,620,605,12,2,0,3,73,9,0,0,0,0,426,3,28
SEN,DF,29,1991,24.5,1775,1678,90,52,1,18,5,1,0,0,0,0,1566,7,10
GRE,DF,29,1991,25.5,1555,1482,71,53,0,10,0,2,0,0,0,0,1442,2,4
MAR,"FW,MF",29,1991,0.4,24,23,1,0,0,0,0,1,0,0,0,0,20,0,0
ITA,FW,29,1991,31.8,1872,1682,174,64,10,48,113,40,64,36,2,0,1486,16,36
ITA,"FW,MF",26,1993,21.2,871,774,96,14,2,15,90,22,55,26,10,0,659,1,28
POR,DF,29,1991,18.5,1386,1181,199,53,1,5,83,125,21,10,4,0,1133,6,28
SRB,DF,28,1991,13.4,963,925,38,25,0,8,2,1,0,0,0,0,886,0,4
POL,MF,26,1994,28.0,1247,1170,70,20,3,14,65,3,33,6,22,0,1031,7,19
SVK,MF,25,1994,1.7,129,126,3,2,0,1,0,1,0,0,0,0,117,0,1
FRA,MF,25,1994,21.8,1228,1198,27,27,1,4,2,0,0,0,0,0,1080,3,16
NGA,FW,21,1998,17.5,249,237,12,0,0,1,14,0,0,0,0,0,171,0,6
ITA,"MF,DF",25,1995,13.1,461,426,33,13,0,3,11,19,0,0,0,0,362,2,12
ITA,FW,20,2000,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ITA,DF,26,1994,9.0,461,371,90,13,0,1,24,76,1,0,1,0,373,0,12
DEN,FW,27,1993,21.1,591,545,42,0,2,4,6,2,0,0,0,0,397,4,18
HUN,DF,18,2002,1.8,79,75,4,1,0,0,0,3,0,0,0,0,59,0,0
POR,DF,38,1981,18.1,931,894,33,29,0,11,8,2,0,0,0,0,790,4,4
CIV,"FW,DF",15,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
BEL,DF,17,2003,5.2,211,206,5,3,0,3,0,0,0,0,0,0,185,0,1
ROU,"FW,MF",21,1998,7.8,262,260,2,0,0,3,7,1,1,0,0,0,220,0,5
CIV,MF,18,2002,0.2,9,9,0,0,0,0,1,0,0,0,0,0,7,0,0
URU,MF,27,1992,18.0,1099,977,116,67,3,15,56,0,43,17,11,1,925,6,14
CIV,FW,33,1987,22.5,536,515,17,0,0,1,12,2,0,0,0,0,432,4,20
ITA,DF,23,1996,0.7,25,21,4,0,0,0,1,4,0,0,0,0,20,0,2
ITA,DF,22,1997,20.3,997,849,140,14,0,4,92,121,5,3,1,0,766,8,26
ITA,FW,35,1985,6.8,196,179,17,1,1,2,0,0,0,0,0,0,150,0,7
BRA,MF,26,1994,24.3,1080,984,91,48,1,22,85,12,31,10,15,0,845,5,31
ITA,"FW,MF",28,1992,0.9,44,36,8,0,1,0,4,0,4,0,0,0,33,0,1
SVN,MF,31,1989,30.4,1434,1346,83,44,0,28,90,13,24,7,15,0,1188,5,26
NED,"FW,MF",19,2001,1.3,34,32,2,0,0,0,0,0,0,0,0,0,21,0,0
ARG,"FW,MF",23,1997,5.3,191,162,29,8,0,6,24,2,12,3,9,0,153,0,5
SVK,"MF,FW",33,1987,25.9,929,904,18,4,3,10,15,4,0,0,0,0,663,7,35
ALB,DF,28,1992,1.1,40,38,2,2,0,0,0,0,0,0,0,0,35,0,1
ARG,DF,21,1999,5.5,336,326,10,8,0,12,2,2,0,0,0,0,271,0,6
ITA,"FW,MF",32,1988,0.4,19,17,2,1,0,0,5,0,1,1,0,0,11,0,2
ITA,GK,29,1991,36.0,1445,1058,381,107,0,1,0,0,0,0,0,0,1147,6,0
ITA,DF,30,1989,2.3,104,81,22,3,0,0,2,19,0,0,0,0,77,1,6
ITA,MF,32,1988,1.7,106,89,17,6,0,1,13,0,11,5,4,0,84,0,0
ITA,DF,26,1993,12.7,712,684,28,21,0,6,3,6,0,0,0,0,633,0,2
ITA,"MF,FW",27,1993,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
BEL,DF,20,1999,13.3,786,666,116,11,0,5,32,105,0,0,0,0,652,4,13
HUN,MF,18,2002,1.0,39,37,2,1,0,0,0,1,0,0,0,0,37,0,0
SWE,DF,30,1990,21.7,1349,1195,148,36,0,12,38,111,0,0,0,0,1074,6,13
ITA,FW,28,1991,6.4,116,100,16,0,1,2,4,0,0,0,0,0,74,0,5
SUI,MF,19,2001,10.0,424,417,6,3,0,4,4,0,3,2,0,0,354,1,5
ITA,GK,29,1991,2.0,52,34,18,7,0,0,0,0,0,0,0,0,38,0,0
ITA,DF,33,1987,13.3,750,670,78,27,0,9,13,50,0,0,0,0,645,2,13
ROU,"FW,MF",20,2000,7.8,192,185,7,0,1,3,14,5,2,1,1,0,124,0,10
GRE,DF,19,2001,0.7,50,45,5,0,0,0,7,5,0,0,0,0,41,0,3
FRA,DF,31,1989,9.7,505,417,86,14,0,0,28,72,0,0,0,0,400,2,7
FRA,MF,25,1995,4.6,299,272,26,11,0,4,19,0,15,3,11,0,248,1,2
FRA,"FW,MF",22,1998,14.4,364,355,4,0,2,3,21,3,1,0,0,0,275,5,16
VEN,DF,26,1994,20.1,1154,1086,63,39,0,13,2,14,0,0,0,0,1017,5,4
GUI,MF,23,1997,7.3,403,397,6,4,1,1,0,2,0,0,0,0,362,0,3
ITA,GK,37,1983,12.8,392,277,115,32,0,0,0,0,0,0,0,0,311,0,1
ESP,FW,23,1997,17.2,372,342,30,2,0,7,7,2,1,0,0,0,291,0,11
BRA,DF,30,1990,15.9,767,647,116,10,0,7,68,97,9,1,8,0,629,4,13
ITA,"DF,MF",25,1995,23.9,1481,1420,52,48,5,13,12,3,1,0,0,1,1224,9,18
USA,DF,19,2001,3.1,148,118,30,3,0,1,7,27,0,0,0,0,122,0,2
ESP,"MF,FW",22,1998,8.6,306,281,20,3,2,2,25,0,15,3,12,0,236,5,9
ENG,DF,30,1989,12.3,684,661,23,18,0,2,1,2,0,0,0,0,620,0,4
BRA,GK,23,1997,5.0,152,107,45,15,0,0,0,0,0,0,0,0,114,0,0
ITA,DF,29,1991,6.5,281,235,46,4,0,1,16,42,0,0,0,0,246,0,4
GAM,MF,19,2001,3.6,264,260,4,4,0,1,0,0,0,0,0,0,248,0,3
BIH,FW,34,1986,20.3,512,464,42,0,0,8,16,3,0,0,0,0,338,6,23
ITA,MF,18,2002,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0
ARG,DF,33,1987,4.5,317,307,10,9,1,3,4,1,0,0,0,0,272,0,3
ITA,DF,24,1996,31.7,1967,1890,76,59,0,12,14,17,0,0,0,0,1731,1,16
ESP,MF,22,1998,20.7,1307,1257,47,46,2,1,7,0,1,1,0,0,1173,3,8
ARM,"MF,FW",31,1989,30.5,1180,1146,27,7,13,7,53,16,4,2,1,0,893,7,49
ARG,"MF,FW",31,1989,0.9,60,60,0,0,2,0,0,0,0,0,0,0,53,0,0
FRA,MF,27,1993,22.8,1268,1181,82,31,1,12,68,4,44,29,12,0,1071,5,16
BRA,DF,29,1991,1.7,133,125,7,5,0,0,0,1,0,0,0,0,122,1,1
NED,MF,21,1999,0.2,7,7,0,0,0,1,1,0,0,0,0,0,4,0,0
ITA,DF,27,1993,23.6,1227,1079,145,12,2,13,103,133,0,0,0,0,957,3,33
ITA,MF,24,1996,28.9,1429,1203,219,58,10,6,171,7,132,52,62,0,1089,7,30
ALB,DF,20,2000,15.1,791,763,28,22,1,5,1,6,0,0,0,0,701,0,12
POL,MF,18,2002,0.1,7,6,1,0,0,0,0,1,0,0,0,0,6,0,0
ESP,GK,25,1994,20.2,663,525,138,37,0,0,0,0,0,0,0,0,533,0,0
ESP,"MF,FW",33,1987,17.7,616,594,18,10,11,5,35,1,6,3,3,0,479,4,13
ITA,DF,18,2002,0.7,45,35,10,2,0,0,0,8,0,0,0,0,35,0,3
NED,DF,25,1995,28.3,1298,1106,190,11,2,4,55,179,0,0,0,0,1070,2,29
BRA,DF,21,1998,26.6,1649,1565,82,73,2,19,5,6,0,0,0,0,1434,2,10
ITA,"MF,FW",27,1992,6.4,240,234,6,2,2,2,10,4,0,0,0,0,186,0,9
POR,MF,31,1989,17.8,948,898,48,44,0,22,9,1,3,1,0,0,822,2,6
SWE,MF,31,1989,25.5,1049,990,59,57,0,6,2,2,0,0,0,0,878,0,9
ITA,DF,26,1994,9.8,493,428,63,18,0,2,4,44,0,0,0,0,411,2,6
ITA,FW,24,1996,3.8,67,59,7,1,0,0,4,0,0,0,0,0,45,1,1
ITA,MF,33,1987,27.8,1640,1405,227,59,2,60,291,62,106,24,58,0,1093,8,66
ITA,MF,23,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
POL,DF,28,1992,29.0,1496,1218,274,41,0,2,46,233,0,0,0,0,1203,4,26
IDN,GK,23,1997,37.0,1247,873,372,113,0,1,0,0,0,0,0,0,877,2,0
VEN,FW,28,1992,1.9,43,40,3,2,0,0,0,0,0,0,0,0,32,0,2
ITA,MF,23,1997,0.9,16,15,1,1,0,0,2,0,0,0,0,0,10,0,2
ITA,FW,37,1983,24.5,526,467,56,1,0,9,20,1,0,0,0,0,362,3,25
ITA,FW,23,1997,1.5,27,25,2,0,0,1,1,0,0,0,0,0,19,0,0
URU,"FW,MF",29,1990,10.8,490,420,68,25,1,5,55,2,38,14,19,0,350,2,9
CZE,MF,24,1996,26.8,920,861,47,11,2,4,81,22,14,5,8,0,621,12,28
CRO,GK,23,1997,1.0,34,26,8,3,0,0,0,0,0,0,0,0,30,0,0
SEN,FW,25,1995,13.3,315,292,23,1,0,0,8,2,2,2,0,0,230,0,9
NOR,MF,19,2001,1.1,19,19,0,0,0,0,1,0,0,0,0,0,10,0,0
ITA,DF,30,1990,19.8,913,839,72,66,0,16,0,6,0,0,0,0,742,2,4
ITA,FW,28,1991,9.7,220,215,3,1,1,1,6,0,0,0,0,0,161,2,4
JPN,DF,31,1988,25.3,1219,1154,62,46,0,25,0,16,0,0,0,0,1035,3,4
ALG,"DF,MF",22,1998,4.3,233,208,21,3,0,2,17,14,4,0,4,0,174,4,4
DEN,"MF,FW",20,2000,19.7,750,704,43,5,0,4,61,13,23,15,5,0,512,3,27
NOR,MF,24,1996,29.4,986,960,23,9,0,3,4,14,0,0,0,0,737,3,19
GAM,DF,27,1992,28.8,1360,1308,49,48,0,15,5,1,0,0,0,0,1098,3,6
ITA,DF,25,1994,35.7,2061,1701,357,42,0,5,148,315,0,0,0,0,1564,3,62
ITA,"FW,MF",26,1994,11.1,530,501,26,10,1,4,20,3,9,4,2,0,371,3,19
ITA,DF,29,1990,1.0,40,31,9,2,0,0,2,7,0,0,0,0,35,0,0
ITA,GK,33,1987,37.0,1358,1023,331,91,0,1,0,0,0,0,0,0,1102,4,0
ITA,"FW,MF",17,2002,0.5,23,23,0,0,0,0,7,0,0,0,0,0,15,0,2
ITA,FW,25,1994,27.5,1310,1202,102,39,7,11,117,5,58,30,16,0,984,6,30
ITA,DF,36,1984,2.3,166,149,14,10,0,1,0,0,0,0,0,0,151,3,0
ITA,FW,26,1994,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
SRB,"MF,FW",28,1992,23.1,901,882,15,3,2,1,12,8,1,0,0,0,701,4,40
ITA,FW,32,1987,18.9,411,361,50,0,2,0,1,1,0,0,0,0,318,0,15
ITA,MF,35,1984,4.9,421,410,10,10,1,2,0,0,0,0,0,0,361,1,6
ITA,"FW,MF",20,2000,13.7,354,281,72,12,2,1,42,0,33,18,11,0,269,1,11
ITA,DF,28,1992,33.5,2732,2623,100,68,0,8,2,13,0,0,0,0,2495,9,16
ITA,GK,39,1981,1.0,22,12,10,2,0,0,0,0,0,0,0,0,21,0,0
GRE,DF,24,1996,16.2,1013,890,122,17,0,1,64,103,2,0,2,0,827,1,16
MTQ,"MF,FW",29,1991,14.8,413,397,16,2,0,0,6,2,0,0,0,0,360,0,7
CIV,"MF,FW",20,2000,19.9,853,779,67,11,1,11,62,5,48,16,20,0,637,7,25
FRA,DF,18,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CIV,"FW,MF",23,1997,19.8,764,742,21,2,0,2,11,10,9,0,0,0,675,1,14
GER,DF,25,1994,16.6,896,772,123,20,0,5,30,103,0,0,0,0,791,1,14
TUR,DF,25,1994,8.8,567,530,36,8,0,1,3,28,0,0,0,0,515,1,3
SVK,"FW,MF",24,1996,3.7,142,116,26,6,0,1,19,6,14,4,9,0,97,0,4
ITA,MF,22,1998,32.0,2802,2696,98,80,1,38,41,4,14,5,7,0,2440,8,30
BRA,DF,24,1995,19.4,1627,1584,41,39,0,5,0,0,0,0,0,0,1545,2,2
FRA,MF,22,1997,20.7,1699,1645,52,22,3,2,38,5,25,8,13,0,1567,2,14
MAR,MF,28,1991,5.9,363,349,13,10,0,3,5,1,2,0,2,0,302,1,4
TUR,DF,21,1999,18.6,1027,862,163,17,0,3,48,146,0,0,0,0,813,2,28
URU,MF,21,1999,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
EQG,MF,28,1992,16.3,912,883,27,24,3,4,1,3,0,0,0,0,810,2,9
BRA,DF,22,1998,20.9,1268,1116,152,24,0,5,75,126,2,0,2,0,1061,0,20
ROU,DF,30,1989,20.4,1610,1572,37,32,0,4,4,5,0,0,0,0,1505,1,10
ITA,MF,24,1995,4.0,156,146,10,4,0,4,8,1,5,0,4,0,117,0,6
BUL,FW,31,1988,4.8,103,82,19,1,0,0,2,0,0,0,0,0,73,2,1
ALB,DF,23,1996,14.4,737,705,31,29,0,8,0,2,0,0,0,0,639,1,3
ITA,DF,36,1984,20.8,1348,1247,86,83,0,32,4,3,0,0,0,0,1125,15,9
ITA,DF,26,1994,2.9,143,121,22,6,0,0,1,16,0,0,0,0,112,0,2
ITA,FW,24,1996,10.9,411,375,36,3,1,6,45,15,18,8,2,0,317,0,5
BRA,FW,30,1990,16.8,654,637,13,4,1,7,21,5,4,0,1,0,530,4,14
UGA,DF,24,1996,1.0,45,43,2,2,0,0,0,0,0,0,0,0,37,0,0
GHA,FW,26,1994,31.7,942,931,8,1,1,4,30,4,1,0,0,0,775,3,23
ITA,DF,25,1995,0.4,41,34,7,0,0,1,2,7,0,0,0,0,27,0,2
ITA,"MF,FW",26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1
ITA,MF,22,1998,24.6,817,795,17,4,5,5,19,13,0,0,0,0,566,5,22
ITA,FW,28,1991,0.4,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0
ITA,GK,26,1994,29.0,1404,1146,255,98,0,8,0,0,0,0,0,0,1042,3,0
ITA,DF,28,1991,4.2,280,233,47,8,0,1,14,39,0,0,0,0,237,0,1
NED,GK,29,1991,6.7,307,252,54,23,0,0,0,0,0,0,0,0,229,1,0
URU,DF,23,1996,3.3,166,127,38,2,0,1,12,29,7,0,7,0,126,1,8
GER,DF,22,1998,18.4,1082,1011,65,57,0,23,2,8,0,0,0,0,917,6,4
COL,FW,21,1998,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25
ITA,MF,32,1988,1.3,59,57,2,2,0,1,1,0,0,0,0,0,38,0,0
ITA,DF,24,1996,17.7,1167,987,177,21,1,7,34,153,2,0,0,0,922,3,18
FRA,MF,18,2002,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2
BRA,MF,24,1995,9.8,624,583,40,38,0,12,12,1,1,0,0,0,544,1,10
ANG,FW,23,1996,21.1,464,405,57,0,0,2,2,1,0,0,0,0,388,2,9
CRO,DF,22,1998,20.0,1076,1012,62,57,0,13,2,5,0,0,0,0,911,2,4
ITA,MF,26,1994,24.8,1667,1541,121,107,4,24,32,1,13,1,9,0,1418,5,18
ARG,MF,24,1995,19.6,923,848,67,26,0,9,91,8,33,0,24,0,679,8,23
ITA,MF,30,1989,3.6,124,117,7,1,0,1,13,1,5,0,4,0,91,0,4
BRA,GK,38,1982,2.3,107,81,26,10,0,0,0,0,0,0,0,0,78,0,0
ITA,DF,22,1998,17.3,969,784,184,24,1,2,71,139,21,0,16,0,761,1,34
ITA,"FW,MF",28,1991,4.3,139,135,2,0,0,4,4,1,1,0,0,0,108,2,4
ITA,FW,19,2001,7.8,137,114,21,0,0,0,2,0,0,0,0,0,90,2,7
ESP,DF,22,1998,13.2,908,731,176,20,0,7,57,154,2,0,0,0,676,1,31
ITA,DF,23,1996,16.9,1068,862,199,30,0,3,93,135,34,0,31,0,794,7,35
ITA,MF,21,1999,13.7,449,448,1,1,0,4,9,0,0,0,0,0,342,0,13
ITA,DF,21,1999,9.5,436,413,23,18,0,3,1,5,0,0,0,0,362,0,4
BIH,"MF,FW",23,1997,5.3,246,218,27,10,0,4,36,2,14,5,9,0,180,1,7
ITA,FW,26,1993,32.1,716,656,56,4,9,11,25,2,0,0,0,0,481,4,39
PAR,FW,24,1996,10.9,260,255,5,0,0,4,2,1,0,0,0,0,195,0,6
ITA,DF,28,1992,22.3,1207,1122,82,63,0,15,22,19,0,0,0,0,973,3,7
ARG,"DF,FW",33,1986,21.6,997,757,239,32,0,26,177,185,22,3,16,0,674,1,28
ITA,MF,28,1992,4.4,217,190,24,10,2,2,14,0,12,5,6,0,163,3,5
ITA,FW,23,1997,6.3,155,136,19,1,0,7,1,0,0,0,0,0,129,0,4
BRA,DF,23,1997,32.6,1664,1597,63,60,0,17,2,3,0,0,0,0,1371,4,21
ITA,MF,23,1997,2.1,106,105,1,0,0,0,0,1,0,0,0,0,94,0,2
POL,MF,25,1995,20.4,733,710,20,6,1,11,6,9,2,0,0,0,600,3,20
BRA,DF,23,1997,21.8,1263,1199,61,59,0,17,6,2,0,0,0,0,1079,3,4
KVX,"DF,FW",25,1995,15.1,768,646,122,12,0,8,64,110,0,0,0,0,589,0,15
ITA,DF,25,1994,6.3,352,272,76,8,0,1,21,68,0,0,0,0,231,4,13
CMR,DF,30,1990,15.1,721,690,30,30,0,1,0,0,0,0,0,0,619,1,5
SUI,DF,27,1992,13.8,719,638,77,17,0,16,20,59,1,1,0,0,600,4,14
ITA,MF,23,1997,16.9,736,650,84,52,1,4,36,0,22,9,9,0,590,2,9
ITA,GK,33,1987,32.0,1006,615,390,119,0,1,0,0,0,0,0,0,711,1,2
KVX,GK,32,1988,1.0,27,19,7,1,0,0,0,0,0,0,0,0,23,1,0
SRB,MF,23,1996,23.4,804,779,23,13,2,4,35,5,4,1,2,0,632,2,32
ITA,"DF,MF",23,1997,0.6,22,17,5,4,0,0,5,0,1,0,1,0,17,0,1
ITA,"MF,FW",28,1992,18.0,735,563,163,55,3,17,154,9,88,13,65,0,491,9,16
ITA,FW,29,1991,16.6,325,312,9,0,1,3,5,4,0,0,0,0,231,4,12
FRA,MF,26,1994,10.2,380,375,4,4,0,6,2,0,0,0,0,0,315,1,11
VEN,MF,32,1988,31.6,1373,1307,60,46,2,25,21,10,2,1,0,0,1141,6,18
SRB,GK,23,1997,5.0,176,126,49,17,0,2,0,0,0,0,0,0,116,1,0
ITA,"FW,MF",19,2000,0.2,9,8,1,0,0,0,1,0,1,1,0,0,7,0,0
CIV,DF,19,2000,20.6,963,778,185,16,0,5,79,169,0,0,0,0,723,0,19
ESP,MF,25,1995,1.5,47,42,4,2,2,0,5,0,2,0,2,0,32,1,0
NED,DF,30,1990,18.2,835,796,33,31,0,7,3,2,0,0,0,0,697,6,7
ITA,"FW,MF",30,1990,6.1,194,182,10,2,1,0,10,2,0,0,0,0,150,2,4
ESP,FW,35,1985,7.9,222,206,16,0,0,0,0,0,0,0,0,0,158,0,2
ESP,"FW,MF",26,1994,6.6,248,219,29,2,2,0,30,6,18,9,4,0,166,0,14
NED,DF,23,1997,3.9,205,174,28,1,1,0,16,27,0,0,0,0,148,3,4
ARG,FW,24,1995,8.4,185,175,10,0,0,0,14,4,0,0,0,0,118,0,4
MKD,"FW,MF",30,1990,7.8,184,173,11,0,1,1,3,3,0,0,0,0,131,0,0
NED,FW,17,2002,1.3,28,28,0,0,0,0,1,0,0,0,0,0,20,0,2
